"setting_id","scenario","depth_design","method","component","multiplicity","metric","n_replications","estimate","mcse","ci95_lower","ci95_upper"
"NULL_FOURFOLD","global_null","FOURFOLD","MaAsLin 3","detected_log_abundance","BH","null_rejection_rate",100,0.000999999999999999,0.00043808582711518,0.000141367556716806,0.00185863244328319
"NULL_BALANCED","global_null","BALANCED","DASRA","structural_absence","BY","null_rejection_rate",100,6e-04,0.00034289321599553,0,0.00127205835389435
"NULL_BALANCED","global_null","BALANCED","MaAsLin 3","observed_prevalence","BY","null_rejection_rate",100,0,0,0,0
"NULL_BALANCED","global_null","BALANCED","DASRA","present_conditional_abundance","BY","null_rejection_rate",100,2e-04,2e-04,0,0.00059199279690801
"NULL_BALANCED","global_null","BALANCED","ZINQ","observed_prevalence","BY","null_rejection_rate",100,2e-04,2e-04,0,0.00059199279690801
"NULL_BALANCED","global_null","BALANCED","ZINQ","detected_quantile_abundance","BY","null_rejection_rate",100,2e-04,2e-04,0,0.000591992796908011
"NULL_BALANCED","global_null","BALANCED","MaAsLin 3","detected_log_abundance","BY","null_rejection_rate",100,4e-04,0.00028141058827258,0,0.000951554617882486
"NULL_BALANCED_LOW","global_null","BALANCED_LOW","DASRA","structural_absence","BY","null_rejection_rate",100,0.0026,0.000733333333333333,0.00116269307800396,0.00403730692199604
"NULL_BALANCED_LOW","global_null","BALANCED_LOW","MaAsLin 3","observed_prevalence","BY","null_rejection_rate",100,0,0,0,0
"NULL_BALANCED_LOW","global_null","BALANCED_LOW","DASRA","present_conditional_abundance","BY","null_rejection_rate",100,0.0018,0.000641651908527646,0.000542385368674424,0.00305761463132557
"NULL_BALANCED_LOW","global_null","BALANCED_LOW","ZINQ","observed_prevalence","BY","null_rejection_rate",100,2e-04,2e-04,0,0.00059199279690801
"NULL_BALANCED_LOW","global_null","BALANCED_LOW","ZINQ","detected_quantile_abundance","BY","null_rejection_rate",100,0,0,0,0
"NULL_BALANCED_LOW","global_null","BALANCED_LOW","MaAsLin 3","detected_log_abundance","BY","null_rejection_rate",100,4e-04,4e-04,0,0.00118398559381602
"NULL_FOURFOLD","global_null","FOURFOLD","DASRA","structural_absence","BY","null_rejection_rate",100,0.0028,0.000753175097353018,0.00132380393513564,0.00427619606486437
"NULL_FOURFOLD","global_null","FOURFOLD","MaAsLin 3","observed_prevalence","BY","null_rejection_rate",100,0,0,0,0
"NULL_FOURFOLD","global_null","FOURFOLD","DASRA","present_conditional_abundance","BY","null_rejection_rate",100,6e-04,0.000445403006707228,0,0.00147297385175202
"NULL_FOURFOLD","global_null","FOURFOLD","ZINQ","observed_prevalence","BY","null_rejection_rate",100,2e-04,2e-04,0,0.00059199279690801
"NULL_FOURFOLD","global_null","FOURFOLD","ZINQ","detected_quantile_abundance","BY","null_rejection_rate",100,0,0,0,0
"NULL_FOURFOLD","global_null","FOURFOLD","MaAsLin 3","detected_log_abundance","BY","null_rejection_rate",100,2e-04,2e-04,0,0.00059199279690801
"NULL_BALANCED","global_null","BALANCED","DASRA","structural_absence","raw","fdp",100,0.86,0.0348735088019777,0.791649178733583,0.928350821266417
"NULL_BALANCED","global_null","BALANCED","MaAsLin 3","observed_prevalence","raw","fdp",100,0.88,0.0326598632371091,0.815987844315263,0.944012155684738
"NULL_BALANCED","global_null","BALANCED","DASRA","present_conditional_abundance","raw","fdp",100,0.96,0.0196946385566932,0.921399217740347,0.998600782259653
"NULL_BALANCED","global_null","BALANCED","ZINQ","observed_prevalence","raw","fdp",100,0.92,0.0272659924344291,0.866559636825777,0.973440363174223
"NULL_BALANCED","global_null","BALANCED","ZINQ","detected_quantile_abundance","raw","fdp",100,0.93,0.0256432399976243,0.879740173157739,0.98025982684226
"NULL_BALANCED","global_null","BALANCED","MaAsLin 3","detected_log_abundance","raw","fdp",100,0.86,0.0348735088019777,0.791649178733583,0.928350821266417
"NULL_BALANCED_LOW","global_null","BALANCED_LOW","DASRA","structural_absence","raw","fdp",100,0.86,0.0348735088019777,0.791649178733583,0.928350821266417
"NULL_BALANCED_LOW","global_null","BALANCED_LOW","MaAsLin 3","observed_prevalence","raw","fdp",100,0.87,0.0337997668989631,0.803753674192183,0.936246325807817
"NULL_BALANCED_LOW","global_null","BALANCED_LOW","DASRA","present_conditional_abundance","raw","fdp",100,0.82,0.0386122919665369,0.744321298385043,0.895678701614958
"NULL_BALANCED_LOW","global_null","BALANCED_LOW","ZINQ","observed_prevalence","raw","fdp",100,0.89,0.031446603773522,0.828365789167795,0.951634210832205
"NULL_BALANCED_LOW","global_null","BALANCED_LOW","ZINQ","detected_quantile_abundance","raw","fdp",100,0.95,0.021904291355759,0.90706837783584,0.99293162216416
"NULL_BALANCED_LOW","global_null","BALANCED_LOW","MaAsLin 3","detected_log_abundance","raw","fdp",100,0.88,0.0326598632371091,0.815987844315263,0.944012155684738
"NULL_FOURFOLD","global_null","FOURFOLD","DASRA","structural_absence","raw","fdp",100,0.89,0.031446603773522,0.828365789167795,0.951634210832205
"NULL_FOURFOLD","global_null","FOURFOLD","MaAsLin 3","observed_prevalence","raw","fdp",100,0.91,0.0287623491264661,0.853626831601359,0.966373168398641
"NULL_FOURFOLD","global_null","FOURFOLD","DASRA","present_conditional_abundance","raw","fdp",100,0.9,0.0301511344577763,0.840904862369734,0.959095137630266
"NULL_FOURFOLD","global_null","FOURFOLD","ZINQ","observed_prevalence","raw","fdp",100,0.92,0.0272659924344291,0.866559636825777,0.973440363174223
"NULL_FOURFOLD","global_null","FOURFOLD","ZINQ","detected_quantile_abundance","raw","fdp",100,0.97,0.0171446607997765,0.936397082305282,1
"NULL_FOURFOLD","global_null","FOURFOLD","MaAsLin 3","detected_log_abundance","raw","fdp",100,0.88,0.0326598632371091,0.815987844315263,0.944012155684738
