"taxon","source_feature","direction","native_prevalence_spike_coefficient","structural_logit_absence_contrast","native_nonzero_absolute_logFC","null_baseline_conditional_mean_log_relative_contrast","abundance_raw_conditional_mean_log_relative_contrast","abundance_mapped_conditional_mean_log_relative_contrast","null_baseline_expected_detection_contrast_at_1500","abundance_raw_expected_detection_contrast_at_1500","abundance_expected_detection_contrast_at_1500","joint_raw_expected_detection_contrast_at_1500","joint_expected_detection_contrast_at_1500"
"Taxon_038","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_hominis","positive",0.693147180559945,-0.693147180559945,0.693147180559945,0.00139344182134771,0.471432810584207,0.470039368762859,0.00314665641628065,0.0659773525627619,0.0628306961464812,0.124735659336602,0.121589002920322
"Taxon_039","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Subdoligranulum|s__Subdoligranulum_sp_4_3_54A2FAA","positive",0.693147180559945,-0.693147180559945,0.693147180559945,0.0633036378266443,0.342886940757135,0.279583302930491,0.0039288912709346,0.0258282957814957,0.0218994045105611,0.144083360242486,0.140154468971551
"Taxon_040","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_sp_AP11","positive",0.693147180559945,-0.693147180559945,0.693147180559945,0.0140384690318678,0.23408097045527,0.220042501423402,0.00208170530431598,0.0144537599674391,0.0123720546631232,0.144750382276251,0.142668676971935
"Taxon_041","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_formicigenerans","positive",0.693147180559945,-0.693147180559945,0.693147180559945,-0.0469281140082076,0.44909353749664,0.496021651504848,-0.00935831267172815,0.0827892839849814,0.0921475966567096,0.111611020044138,0.120969332715866
"Taxon_042","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_3_1_46FAA","positive",0.693147180559945,-0.693147180559945,0.693147180559945,-0.00417119027583723,0.481934757272674,0.486105947548511,0.00280335945229027,0.0641398882842958,0.0613365288320056,0.117322242929969,0.114518883477678
"Taxon_043","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Ruminococcus_gnavus","positive",0.693147180559945,-0.693147180559945,0.693147180559945,0.0467359721707972,0.515848411194336,0.469112439023538,0.00573976939327814,0.0520534435540492,0.0463136741607711,0.120784803578478,0.1150450341852
"Taxon_044","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_sp_5_1_39BFAA","positive",0.693147180559945,-0.693147180559945,0.693147180559945,-0.0686580682506284,0.288134833518134,0.356792901768762,-0.00691281067817379,0.0244568023815078,0.0313696130596816,0.153350603137889,0.160263413816063
"Taxon_045","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_comes","positive",0.693147180559945,-0.693147180559945,0.693147180559945,-0.0203752398009867,0.426526591574087,0.446901831375073,-0.00235659060359411,0.070464197791434,0.0728207883950281,0.13499426267898,0.137350853282575
"Taxon_046","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_leptum","positive",0.693147180559945,-0.693147180559945,0.693147180559945,-0.0272210082594206,0.495397479609382,0.522618487868803,-0.00039689620972494,0.0746048446643582,0.0750017408740831,0.115929895673768,0.116326791883493
"Taxon_047","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_longicatena","positive",0.693147180559945,-0.693147180559945,0.693147180559945,-0.0141375925872556,0.452580090697611,0.466717683284867,0.000936694232729407,0.0698618356953005,0.0689251414625711,0.130176797315803,0.129240103083074
