"setting_id","depth_design","design_id","calibration_role","method","component","domain","threshold","n_taxa","operational_tail_n","operational_tail_estimate","operational_tail_mcse","operational_tail_ci95_lower","operational_tail_ci95_upper","available_conditional_tail_n","available_conditional_tail_estimate","available_conditional_tail_mcse","available_conditional_tail_ci95_lower","available_conditional_tail_ci95_upper"
"NULL_BALANCED_LOW","balanced_low","BALANCED_LOW","exact global null; balanced low-depth support stress","MaAsLin3","detected_log_abundance","abundance",0.01,50,100,0.0088,0.0012814133611057,0.00625739788690475,0.0113426021130953,100,0.0088,0.0012814133611057,0.00625739788690475,0.0113426021130953
"NULL_BALANCED_LOW","balanced_low","BALANCED_LOW","exact global null; balanced low-depth support stress","MaAsLin3","detected_log_abundance","abundance",0.025,50,100,0.021,0.00213437474581095,0.016764937448324,0.025235062551676,100,0.021,0.00213437474581095,0.016764937448324,0.025235062551676
"NULL_BALANCED_LOW","balanced_low","BALANCED_LOW","exact global null; balanced low-depth support stress","MaAsLin3","detected_log_abundance","abundance",0.05,50,100,0.0442,0.00313075328980362,0.0379879062511367,0.0504120937488633,100,0.0442,0.00313075328980362,0.0379879062511367,0.0504120937488633
"NULL_BALANCED_LOW","balanced_low","BALANCED_LOW","exact global null; balanced low-depth support stress","MaAsLin3","detected_log_abundance","abundance",0.1,50,100,0.093,0.00463953149846539,0.0837941629533258,0.102205837046674,100,0.093,0.00463953149846539,0.0837941629533258,0.102205837046674
"NULL_FOURFOLD","fourfold","FOURFOLD","no-direct-effect conditional depth-imbalance stress","DASRA","structural_absence","prevalence",0.001,50,100,0.0036,0.000822904439878482,0.00196717906085739,0.00523282093914261,100,0.00364132653061224,0.000835463067030833,0.00198358655058529,0.0052990665106392
"NULL_FOURFOLD","fourfold","FOURFOLD","no-direct-effect conditional depth-imbalance stress","DASRA","structural_absence","prevalence",0.005,50,100,0.006,0.00104446593573419,0.00392755298496166,0.00807244701503834,100,0.00609967071935157,0.00106623281633138,0.00398403349084913,0.00821530794785401
"NULL_FOURFOLD","fourfold","FOURFOLD","no-direct-effect conditional depth-imbalance stress","DASRA","structural_absence","prevalence",0.01,50,100,0.0114,0.00142856854256563,0.00856541008133818,0.0142345899186618,100,0.0115998960083571,0.00145642603417357,0.00871003078261811,0.0144897612340961
"NULL_FOURFOLD","fourfold","FOURFOLD","no-direct-effect conditional depth-imbalance stress","DASRA","structural_absence","prevalence",0.025,50,100,0.0226,0.0019828558121349,0.0186655838850103,0.0265344161149897,100,0.023012568829567,0.00201925250598646,0.0190059337776553,0.0270192038814787
"NULL_FOURFOLD","fourfold","FOURFOLD","no-direct-effect conditional depth-imbalance stress","DASRA","structural_absence","prevalence",0.05,50,100,0.0462,0.00282406684328709,0.0405964386971366,0.0518035613028634,100,0.0470782106829781,0.00289226113507702,0.0413393371103437,0.0528170842556125
"NULL_FOURFOLD","fourfold","FOURFOLD","no-direct-effect conditional depth-imbalance stress","DASRA","structural_absence","prevalence",0.1,50,100,0.0846,0.00402873517008838,0.0766061153820582,0.0925938846179418,100,0.0862063444341659,0.00413448151283504,0.078002636130378,0.0944100527379538
"NULL_FOURFOLD","fourfold","FOURFOLD","no-direct-effect conditional depth-imbalance stress","DASRA","present_conditional_abundance","abundance",0.001,50,100,0.0012,0.000685786431991062,0,0.00256074906352463,100,0.00126945529985044,0.000712630234236785,0,0.00268346829083607
"NULL_FOURFOLD","fourfold","FOURFOLD","no-direct-effect conditional depth-imbalance stress","DASRA","present_conditional_abundance","abundance",0.005,50,100,0.0046,0.00109562951785904,0.00242603333800563,0.00677396666199436,100,0.00490880089997548,0.00115397767965576,0.00261905882625015,0.0071985429737008
"NULL_FOURFOLD","fourfold","FOURFOLD","no-direct-effect conditional depth-imbalance stress","DASRA","present_conditional_abundance","abundance",0.01,50,100,0.0094,0.00156876068952855,0.00628723844685505,0.0125127615531449,100,0.0100796211777404,0.00166147393816904,0.00678289642500633,0.0133763459304744
"NULL_FOURFOLD","fourfold","FOURFOLD","no-direct-effect conditional depth-imbalance stress","DASRA","present_conditional_abundance","abundance",0.025,50,100,0.0226,0.00226800317103799,0.0180997896617747,0.0271002103382253,100,0.0243941174996081,0.00242064069967483,0.0195910411896133,0.0291971938096029
"NULL_FOURFOLD","fourfold","FOURFOLD","no-direct-effect conditional depth-imbalance stress","DASRA","present_conditional_abundance","abundance",0.05,50,100,0.0454,0.00316361894805377,0.0391226936549117,0.0516773063450883,100,0.0489062490901719,0.00335721974129642,0.042244796769291,0.0555677014110529
"NULL_FOURFOLD","fourfold","FOURFOLD","no-direct-effect conditional depth-imbalance stress","DASRA","present_conditional_abundance","abundance",0.1,50,100,0.088,0.00415847679961417,0.0797486798414267,0.0962513201585733,100,0.0950562497617124,0.00440604026759871,0.0863137099733706,0.103798789550054
"NULL_FOURFOLD","fourfold","FOURFOLD","no-direct-effect conditional depth-imbalance stress","ZINQ","observed_prevalence","prevalence",0.001,50,100,0.0012,0.000477366513151883,0.000252801272484333,0.00214719872751567,100,0.0012,0.000477366513151883,0.000252801272484333,0.00214719872751567
