"dataset","dataset_label","replicate","scenario","method","n_taxa","n_available","availability_rate","n_rejections","type1_error"
"Atlas1006","HITChip Atlas 1006",39,"fourfold","ZINQ",30,30,1,0,0
"Atlas1006","HITChip Atlas 1006",39,"fourfold","MaAsLin3",30,20,0.666666666666667,0,0
"Atlas1006","HITChip Atlas 1006",40,"balanced","DASRA",30,30,1,0,0
"Atlas1006","HITChip Atlas 1006",40,"balanced","ZINQ",30,30,1,1,0.0333333333333333
"Atlas1006","HITChip Atlas 1006",40,"balanced","MaAsLin3",30,9,0.3,0,0
"Atlas1006","HITChip Atlas 1006",40,"fourfold","DASRA",30,30,1,0,0
"Atlas1006","HITChip Atlas 1006",40,"fourfold","ZINQ",30,30,1,2,0.0666666666666667
"Atlas1006","HITChip Atlas 1006",40,"fourfold","MaAsLin3",30,14,0.466666666666667,2,0.0666666666666667
"Atlas1006","HITChip Atlas 1006",41,"balanced","DASRA",30,30,1,0,0
"Atlas1006","HITChip Atlas 1006",41,"balanced","ZINQ",30,30,1,1,0.0333333333333333
"Atlas1006","HITChip Atlas 1006",41,"balanced","MaAsLin3",30,6,0.2,1,0.0333333333333333
"Atlas1006","HITChip Atlas 1006",41,"fourfold","DASRA",30,30,1,0,0
"Atlas1006","HITChip Atlas 1006",41,"fourfold","ZINQ",30,30,1,1,0.0333333333333333
"Atlas1006","HITChip Atlas 1006",41,"fourfold","MaAsLin3",30,17,0.566666666666667,2,0.0666666666666667
"Atlas1006","HITChip Atlas 1006",42,"balanced","DASRA",30,30,1,0,0
"Atlas1006","HITChip Atlas 1006",42,"balanced","ZINQ",30,30,1,0,0
"Atlas1006","HITChip Atlas 1006",42,"balanced","MaAsLin3",30,9,0.3,0,0
"Atlas1006","HITChip Atlas 1006",42,"fourfold","DASRA",30,30,1,0,0
"Atlas1006","HITChip Atlas 1006",42,"fourfold","ZINQ",30,30,1,0,0
"Atlas1006","HITChip Atlas 1006",42,"fourfold","MaAsLin3",30,17,0.566666666666667,1,0.0333333333333333
"Atlas1006","HITChip Atlas 1006",43,"balanced","DASRA",30,30,1,0,0
"Atlas1006","HITChip Atlas 1006",43,"balanced","ZINQ",30,30,1,1,0.0333333333333333
"Atlas1006","HITChip Atlas 1006",43,"balanced","MaAsLin3",30,10,0.333333333333333,0,0
"Atlas1006","HITChip Atlas 1006",43,"fourfold","DASRA",30,30,1,0,0
"Atlas1006","HITChip Atlas 1006",43,"fourfold","ZINQ",30,30,1,2,0.0666666666666667
"Atlas1006","HITChip Atlas 1006",43,"fourfold","MaAsLin3",30,18,0.6,2,0.0666666666666667
"Atlas1006","HITChip Atlas 1006",44,"balanced","DASRA",30,30,1,0,0
"Atlas1006","HITChip Atlas 1006",44,"balanced","ZINQ",30,30,1,0,0
"Atlas1006","HITChip Atlas 1006",44,"balanced","MaAsLin3",30,12,0.4,0,0
"Atlas1006","HITChip Atlas 1006",44,"fourfold","DASRA",30,30,1,0,0
"Atlas1006","HITChip Atlas 1006",44,"fourfold","ZINQ",30,30,1,3,0.1
"Atlas1006","HITChip Atlas 1006",44,"fourfold","MaAsLin3",30,22,0.733333333333333,0,0
"Atlas1006","HITChip Atlas 1006",45,"balanced","DASRA",30,30,1,1,0.0333333333333333
"Atlas1006","HITChip Atlas 1006",45,"balanced","ZINQ",30,30,1,3,0.1
"Atlas1006","HITChip Atlas 1006",45,"balanced","MaAsLin3",30,9,0.3,1,0.0333333333333333
"Atlas1006","HITChip Atlas 1006",45,"fourfold","DASRA",30,30,1,0,0
"Atlas1006","HITChip Atlas 1006",45,"fourfold","ZINQ",30,30,1,3,0.1
"Atlas1006","HITChip Atlas 1006",45,"fourfold","MaAsLin3",30,19,0.633333333333333,1,0.0333333333333333
"Atlas1006","HITChip Atlas 1006",46,"balanced","DASRA",30,30,1,0,0
"Atlas1006","HITChip Atlas 1006",46,"balanced","ZINQ",30,30,1,1,0.0333333333333333
"Atlas1006","HITChip Atlas 1006",46,"balanced","MaAsLin3",30,6,0.2,0,0
"Atlas1006","HITChip Atlas 1006",46,"fourfold","DASRA",30,30,1,0,0
"Atlas1006","HITChip Atlas 1006",46,"fourfold","ZINQ",30,30,1,3,0.1
"Atlas1006","HITChip Atlas 1006",46,"fourfold","MaAsLin3",30,16,0.533333333333333,0,0
"Atlas1006","HITChip Atlas 1006",47,"balanced","DASRA",30,30,1,0,0
"Atlas1006","HITChip Atlas 1006",47,"balanced","ZINQ",30,30,1,2,0.0666666666666667
"Atlas1006","HITChip Atlas 1006",47,"balanced","MaAsLin3",30,10,0.333333333333333,0,0
"Atlas1006","HITChip Atlas 1006",47,"fourfold","DASRA",30,30,1,1,0.0333333333333333
"Atlas1006","HITChip Atlas 1006",47,"fourfold","ZINQ",30,30,1,0,0
"Atlas1006","HITChip Atlas 1006",47,"fourfold","MaAsLin3",30,17,0.566666666666667,1,0.0333333333333333
"Atlas1006","HITChip Atlas 1006",48,"balanced","DASRA",30,30,1,2,0.0666666666666667
"Atlas1006","HITChip Atlas 1006",48,"balanced","ZINQ",30,30,1,4,0.133333333333333
