"design","allocation_id","depth","target_library_size","median_library_size","taxon","target_set","method","component","available","reason","p_value","estimate","q_value","significant","d6300_comparison_cells"
"null",1,"1000",1000,1000,"Enterococcus_faecalis","Structural targets","MaAsLin3 prevalence","prevalence",TRUE,"available",0.504208606506543,-0.450230648233201,0.905183271026206,FALSE,"1;2;3;4;13;14;15;16"
"null",1,"1000",1000,1000,"Escherichia_coli","Structural targets","MaAsLin3 prevalence","prevalence",TRUE,"available",0.740604494475986,-0.219651985658703,0.905183271026206,FALSE,"1;2;3;4;13;14;15;16"
"null",1,"1000",1000,1000,"Lactobacillus_fermentum","Structural targets","MaAsLin3 prevalence","prevalence",TRUE,"available",0.999999999999999,-9.15530881917839e-16,0.999999999999999,FALSE,"1;2;3;4;13;14;15;16"
"null",1,"1000",1000,1000,"Listeria_monocytogenes","Structural targets","MaAsLin3 prevalence","prevalence",TRUE,"available",0.740604494475985,0.219651985658703,0.905183271026206,FALSE,"1;2;3;4;13;14;15;16"
"null",1,"1000",1000,1000,"Pseudomonas_aeruginosa","Structural targets","MaAsLin3 prevalence","prevalence",TRUE,"available",0.740604494475986,-0.219651985658703,0.905183271026206,FALSE,"1;2;3;4;13;14;15;16"
"null",1,"1000",1000,1000,"Salmonella_enterica","Structural targets","MaAsLin3 prevalence","prevalence",TRUE,"available",0.999999999999999,-9.15530881917839e-16,0.999999999999999,FALSE,"1;2;3;4;13;14;15;16"
"null",1,"1000",1000,1000,"Staphylococcus_aureus","Structural targets","MaAsLin3 prevalence","prevalence",TRUE,"available",0.740604494475986,-0.219651985658702,0.905183271026206,FALSE,"1;2;3;4;13;14;15;16"
"null",1,"1000",1000,1000,"Allobacillus_halotolerans","Abundance targets","MaAsLin3 prevalence","prevalence",TRUE,"available",0.31717960835934,0.681502570539023,0.905183271026206,FALSE,"1;2;3;4;13;14;15;16"
"null",1,"1000",1000,1000,"Imtechella_halotolerans","Abundance targets","MaAsLin3 prevalence","prevalence",TRUE,"available",0.337956442436945,-0.98874766568899,0.905183271026206,FALSE,"1;2;3;4;13;14;15;16"
"null",1,"1000",1000,1000,"Truepera_radiovictrix","Abundance targets","MaAsLin3 prevalence","prevalence",TRUE,"available",0.571911283450769,0.672676435224568,0.905183271026206,FALSE,"1;2;3;4;13;14;15;16"
"null",1,"1000",1000,1000,"Bacillus_subtilis","Structural targets","MaAsLin3 abundance","abundance",TRUE,"available",0.542235256333902,0.394451022824732,0.970043021845463,FALSE,"1;2;3;4;13;14;15;16"
"null",1,"1000",1000,1000,"Enterococcus_faecalis","Structural targets","MaAsLin3 abundance","abundance",TRUE,"available",0.232385258927075,0.714878066164523,0.970043021845463,FALSE,"1;2;3;4;13;14;15;16"
"null",1,"1000",1000,1000,"Escherichia_coli","Structural targets","MaAsLin3 abundance","abundance",TRUE,"available",0.414198530819346,0.547815819725065,0.970043021845463,FALSE,"1;2;3;4;13;14;15;16"
"null",1,"1000",1000,1000,"Lactobacillus_fermentum","Structural targets","MaAsLin3 abundance","abundance",TRUE,"available",0.666715052130395,-0.282578561754665,0.970043021845463,FALSE,"1;2;3;4;13;14;15;16"
"null",1,"1000",1000,1000,"Listeria_monocytogenes","Structural targets","MaAsLin3 abundance","abundance",TRUE,"available",0.915254508188859,-0.218178906988888,0.970043021845463,FALSE,"1;2;3;4;13;14;15;16"
