"setting_id","scenario","depth_design","method","component","multiplicity","metric","n_replications","estimate","mcse","ci95_lower","ci95_upper"
"NULL_FOURFOLD","global_null","FOURFOLD","DASRA","present_conditional_abundance","BH","available_fraction",100,0.968,0.00214617347995464,0.963793577274714,0.972206422725286
"NULL_FOURFOLD","global_null","FOURFOLD","LinDA","general_abundance","BH","available_fraction",100,1,0,1,1
"NULL_FOURFOLD","global_null","FOURFOLD","ZINQ","detected_quantile_abundance","BH","available_fraction",100,1,0,1,1
"NULL_FOURFOLD","global_null","FOURFOLD","MaAsLin 3","observed_prevalence","BH","available_fraction",100,1,0,1,1
"NULL_FOURFOLD","global_null","FOURFOLD","ANCOM-BC2","general_abundance","BH","available_fraction",100,1,0,1,1
"NULL_FOURFOLD","global_null","FOURFOLD","ZINQ","observed_prevalence","BH","available_fraction",100,1,0,1,1
"STRUCT_BALANCED","structural_only","BALANCED","DASRA","structural_absence","BH","available_fraction",100,0.996,0.000942809041582065,0.9941521282342,0.9978478717658
"STRUCT_BALANCED","structural_only","BALANCED","MaAsLin 3","observed_prevalence","BH","available_fraction",100,1,0,1,1
"STRUCT_BALANCED","structural_only","BALANCED","DASRA","present_conditional_abundance","BH","available_fraction",100,0.9836,0.00161758018551343,0.980429601094288,0.986770398905712
"STRUCT_BALANCED","structural_only","BALANCED","ZINQ","observed_prevalence","BH","available_fraction",100,1,0,1,1
"STRUCT_BALANCED","structural_only","BALANCED","ZINQ","detected_quantile_abundance","BH","available_fraction",100,1,0,1,1
"STRUCT_BALANCED","structural_only","BALANCED","MaAsLin 3","detected_log_abundance","BH","available_fraction",100,1,0,1,1
"STRUCT_FOURFOLD","structural_only","FOURFOLD","DASRA","structural_absence","BH","available_fraction",100,0.9958,0.000912096043144139,0.994012324604996,0.997587675395004
"STRUCT_FOURFOLD","structural_only","FOURFOLD","MaAsLin 3","observed_prevalence","BH","available_fraction",100,1,0,1,1
"STRUCT_FOURFOLD","structural_only","FOURFOLD","DASRA","present_conditional_abundance","BH","available_fraction",100,0.9728,0.00222964417145721,0.968429977725604,0.977170022274396
"STRUCT_FOURFOLD","structural_only","FOURFOLD","ZINQ","observed_prevalence","BH","available_fraction",100,1,0,1,1
"STRUCT_FOURFOLD","structural_only","FOURFOLD","ZINQ","detected_quantile_abundance","BH","available_fraction",100,1,0,1,1
"STRUCT_FOURFOLD","structural_only","FOURFOLD","MaAsLin 3","detected_log_abundance","BH","available_fraction",100,1,0,1,1
"ABUND_BALANCED","abundance_only","BALANCED","DASRA","structural_absence","BH","available_fraction",100,0.997,0.000771984194112546,0.995486938782905,0.998513061217095
"ABUND_BALANCED","abundance_only","BALANCED","edgeR","general_abundance","BH","available_fraction",100,0.8784,0.00553906238647049,0.867543637214397,0.889256362785603
"ABUND_BALANCED","abundance_only","BALANCED","DESeq2","general_abundance","BH","available_fraction",100,1,0,1,1
"ABUND_BALANCED","abundance_only","BALANCED","corncob","general_abundance","BH","available_fraction",100,1,0,1,1
"ABUND_BALANCED","abundance_only","BALANCED","MaAsLin 3","detected_log_abundance","BH","available_fraction",100,1,0,1,1
