"setting_id","taxon","n_replications","mean_positive_control","mean_positive_case","probability_control_below_20","probability_case_below_20","probability_either_group_below_20"
"ABUND_BALANCED","Taxon_011",100,47.25,47.19,0,0,0
"ABUND_BALANCED","Taxon_012",100,63.29,65.07,0,0,0
"ABUND_BALANCED","Taxon_013",100,53.33,54.39,0,0,0
"ABUND_BALANCED","Taxon_014",100,33.98,33.77,0,0,0
"ABUND_BALANCED","Taxon_015",100,84.34,84.6,0,0,0
"ABUND_BALANCED","Taxon_016",100,81.18,79.79,0,0,0
"ABUND_BALANCED","Taxon_017",100,105.78,106.11,0,0,0
"ABUND_BALANCED","Taxon_018",100,54.94,53.93,0,0,0
"ABUND_BALANCED","Taxon_019",100,52.3,52.57,0,0,0
"ABUND_BALANCED","Taxon_020",100,78.31,79.01,0,0,0
"ABUND_BALANCED","Taxon_021",100,57.46,58.11,0,0,0
"ABUND_BALANCED","Taxon_022",100,29.78,29.53,0.01,0.03,0.04
"ABUND_BALANCED","Taxon_023",100,55.46,55.62,0,0,0
"ABUND_BALANCED","Taxon_024",100,70.31,67.95,0,0,0
"ABUND_BALANCED","Taxon_025",100,45.93,46.23,0,0,0
"ABUND_BALANCED","Taxon_026",100,82.06,82.04,0,0,0
"ABUND_BALANCED","Taxon_027",100,69.82,70.47,0,0,0
"ABUND_BALANCED","Taxon_028",100,73.05,72.94,0,0,0
"ABUND_BALANCED","Taxon_029",100,71.14,71.01,0,0,0
"ABUND_BALANCED","Taxon_030",100,72.68,73.69,0,0,0
"ABUND_BALANCED","Taxon_031",100,43.26,44.09,0,0,0
"ABUND_BALANCED","Taxon_032",100,64.05,63.78,0,0,0
"ABUND_BALANCED","Taxon_033",100,48.1,48.39,0,0,0
"ABUND_BALANCED","Taxon_034",100,42.71,42.35,0,0,0
"ABUND_BALANCED","Taxon_035",100,52.66,52.95,0,0,0
"ABUND_BALANCED","Taxon_036",100,36.78,37.75,0,0,0
"ABUND_BALANCED","Taxon_037",100,40.74,40.94,0,0,0
"ABUND_BALANCED","Taxon_038",100,61.37,60.57,0,0,0
"ABUND_BALANCED","Taxon_039",100,38.48,37.84,0,0,0
"ABUND_BALANCED","Taxon_040",100,32.29,31.13,0,0.01,0.01
"ABUND_BALANCED","Taxon_041",100,69.06,70.91,0,0,0
"ABUND_BALANCED","Taxon_042",100,54.53,54.68,0,0,0
"ABUND_BALANCED","Taxon_043",100,41.59,42.46,0,0,0
"ABUND_BALANCED","Taxon_044",100,40.13,39.76,0,0,0
"ABUND_BALANCED","Taxon_045",100,61.07,60.52,0,0,0
"ABUND_BALANCED","Taxon_046",100,51.62,53.31,0,0,0
"ABUND_BALANCED","Taxon_047",100,57.07,56.8,0,0,0
"ABUND_BALANCED","Taxon_048",100,44.21,44.16,0,0,0
"ABUND_BALANCED","Taxon_049",100,61.8,62.39,0,0,0
"ABUND_BALANCED","Taxon_050",100,51.48,50.18,0,0,0
"ABUND_FOURFOLD","Taxon_001",100,33.48,40.18,0,0,0
"ABUND_FOURFOLD","Taxon_002",100,63.49,70.31,0,0,0
"ABUND_FOURFOLD","Taxon_003",100,95.24,104.29,0,0,0
"ABUND_FOURFOLD","Taxon_004",100,87.6,93.87,0,0,0
"ABUND_FOURFOLD","Taxon_005",100,62.4,69.47,0,0,0
"ABUND_FOURFOLD","Taxon_006",100,98.04,104.76,0,0,0
"ABUND_FOURFOLD","Taxon_007",100,61.86,74.36,0,0,0
"ABUND_FOURFOLD","Taxon_008",100,103.05,107.6,0,0,0
"ABUND_FOURFOLD","Taxon_009",100,74.02,80.06,0,0,0
"ABUND_FOURFOLD","Taxon_010",100,48.97,57.78,0,0,0
"ABUND_FOURFOLD","Taxon_011",100,42.7,48.85,0,0,0
"ABUND_FOURFOLD","Taxon_012",100,55.88,67.72,0,0,0
"ABUND_FOURFOLD","Taxon_013",100,48.01,56.17,0,0,0
"ABUND_FOURFOLD","Taxon_014",100,28.98,35.31,0.02,0,0.02
"ABUND_FOURFOLD","Taxon_015",100,77.26,86.6,0,0,0
"ABUND_FOURFOLD","Taxon_016",100,72.92,82.53,0,0,0
"ABUND_FOURFOLD","Taxon_017",100,99.06,107.87,0,0,0
"ABUND_FOURFOLD","Taxon_018",100,47.73,56.59,0,0,0
"ABUND_FOURFOLD","Taxon_019",100,44.58,54.97,0,0,0
"ABUND_FOURFOLD","Taxon_020",100,69.59,81.52,0,0,0
"ABUND_FOURFOLD","Taxon_021",100,49.97,60.57,0,0,0
"ABUND_FOURFOLD","Taxon_022",100,25.95,30.62,0.07,0,0.07
"ABUND_FOURFOLD","Taxon_023",100,47.56,57.84,0,0,0
"ABUND_FOURFOLD","Taxon_024",100,59.17,72.21,0,0,0
"ABUND_FOURFOLD","Taxon_025",100,37.55,48.84,0,0,0
"ABUND_FOURFOLD","Taxon_026",100,76.92,83.09,0,0,0
"ABUND_FOURFOLD","Taxon_027",100,58.67,74.32,0,0,0
"ABUND_FOURFOLD","Taxon_028",100,60.35,76.86,0,0,0
"ABUND_FOURFOLD","Taxon_029",100,59.45,74.21,0,0,0
"ABUND_FOURFOLD","Taxon_030",100,57.7,78.4,0,0,0
"ABUND_FOURFOLD","Taxon_031",100,35.27,47.11,0,0,0
