samples_per_group,signal_taxa_percent,covariate_structure,target_abundance_difference,method,measure,replications,estimate,monte_carlo_sd,monte_carlo_se,interval_lower,interval_upper
80,20,Unconfounded,0.6,ZINQ,Power after Benjamini-Hochberg adjustment,100,0.889,0.108147859876928,0.0108147859876928,0.867803019464122,0.910196980535878
80,20,Unconfounded,0.6,ANCOM-BC2,Power after Benjamini-Hochberg adjustment,100,0.004,0.0242878362539562,0.00242878362539562,0,0.00876041590577542
80,20,Unconfounded,0.75,edgeR,Power after Benjamini-Hochberg adjustment,100,0.706,0.120453687818559,0.0120453687818559,0.682391077187562,0.729608922812438
80,20,Unconfounded,0.75,DESeq2,Power after Benjamini-Hochberg adjustment,100,0.962,0.0582228390745332,0.00582228390745332,0.950588323541391,0.973411676458609
80,20,Unconfounded,0.75,corncob,Power after Benjamini-Hochberg adjustment,100,0.983,0.0450700913168936,0.00450700913168936,0.974166262101889,0.991833737898111
80,20,Unconfounded,0.75,MaAsLin 3,Power after Benjamini-Hochberg adjustment,100,0.984,0.041971611377408,0.0041971611377408,0.975773564170028,0.992226435829972
80,20,Unconfounded,0.75,metagenomeSeq,Power after Benjamini-Hochberg adjustment,100,0.999,0.01,0.001,0.99704,1
80,20,Unconfounded,0.75,SACAT,Power after Benjamini-Hochberg adjustment,100,0.995,0.021904291355759,0.0021904291355759,0.990706758894271,0.999293241105729
80,20,Unconfounded,0.75,LinDA,Power after Benjamini-Hochberg adjustment,100,0.637,0.160589192939279,0.0160589192939279,0.605524518183901,0.668475481816099
80,20,Unconfounded,0.75,ZINQ,Power after Benjamini-Hochberg adjustment,100,0.979,0.0433333333333333,0.00433333333333333,0.970506666666667,0.987493333333333
80,20,Unconfounded,0.75,ANCOM-BC2,Power after Benjamini-Hochberg adjustment,100,0.016,0.0486587789373795,0.00486587789373795,0.00646287932827362,0.0255371206717264
80,20,Unconfounded,0.9,edgeR,Power after Benjamini-Hochberg adjustment,100,0.739,0.0851558286408814,0.00851558286408814,0.722309457586387,0.755690542413613
80,20,Unconfounded,0.9,DESeq2,Power after Benjamini-Hochberg adjustment,100,0.992,0.0272659924344291,0.00272659924344291,0.986655865482852,0.997344134517148
80,20,Unconfounded,0.9,corncob,Power after Benjamini-Hochberg adjustment,100,0.998,0.014070529413629,0.0014070529413629,0.995242176234929,1
80,20,Unconfounded,0.9,MaAsLin 3,Power after Benjamini-Hochberg adjustment,100,0.994,0.0277797979063414,0.00277797979063414,0.988555159610357,0.999444840389643
80,20,Unconfounded,0.9,metagenomeSeq,Power after Benjamini-Hochberg adjustment,100,0.999,0.01,0.001,0.99704,1
80,20,Unconfounded,0.9,SACAT,Power after Benjamini-Hochberg adjustment,100,0.998,0.014070529413629,0.0014070529413629,0.995242176234929,1
80,20,Unconfounded,0.9,LinDA,Power after Benjamini-Hochberg adjustment,100,0.806,0.123762561856046,0.0123762561856046,0.781742537876215,0.830257462123785
80,20,Unconfounded,0.9,ZINQ,Power after Benjamini-Hochberg adjustment,100,0.993,0.0256432399976243,0.00256432399976243,0.987973924960466,0.998026075039534
80,20,Unconfounded,0.9,ANCOM-BC2,Power after Benjamini-Hochberg adjustment,100,0.059,0.0954468491365797,0.00954468491365797,0.0402924175692304,0.0777075824307696
80,20,Unconfounded,1.05,edgeR,Power after Benjamini-Hochberg adjustment,100,0.735,0.0857233039988827,0.00857233039988827,0.718198232416219,0.751801767583781
80,20,Unconfounded,1.05,DESeq2,Power after Benjamini-Hochberg adjustment,100,0.997,0.0171446607997765,0.00171446607997765,0.993639646483244,1
80,20,Unconfounded,1.05,corncob,Power after Benjamini-Hochberg adjustment,100,1,0,0,1,1
80,20,Unconfounded,1.05,MaAsLin 3,Power after Benjamini-Hochberg adjustment,100,0.998,0.014070529413629,0.0014070529413629,0.995242176234929,1
80,20,Unconfounded,1.05,metagenomeSeq,Power after Benjamini-Hochberg adjustment,100,1,0,0,1,1
80,20,Unconfounded,1.05,SACAT,Power after Benjamini-Hochberg adjustment,100,1,0,0,1,1
80,20,Unconfounded,1.05,LinDA,Power after Benjamini-Hochberg adjustment,100,0.914,0.0816743966657059,0.00816743966657059,0.897991818253522,0.930008181746478
80,20,Unconfounded,1.05,ZINQ,Power after Benjamini-Hochberg adjustment,100,0.998,0.014070529413629,0.0014070529413629,0.995242176234929,1
80,20,Unconfounded,1.05,ANCOM-BC2,Power after Benjamini-Hochberg adjustment,100,0.194,0.175706366625479,0.0175706366625479,0.159561552141406,0.228438447858594
80,20,Unconfounded,1.2,edgeR,Power after Benjamini-Hochberg adjustment,100,0.741,0.0817670996541922,0.00817670996541922,0.724973648467778,0.757026351532222
80,20,Unconfounded,1.2,DESeq2,Power after Benjamini-Hochberg adjustment,100,1,0,0,1,1
