component_family,null_mechanism,samples_per_group,covariate_structure,method,method_component,tested_component,replications,familywise_type_i_error,monte_carlo_sd,monte_carlo_se,interval_lower,interval_upper
Abundance,Correlated-community null,80,Confounded,edgeR,edgeR,General abundance,100,0.005,0.05,0.005,0,0.0148
Abundance,Correlated-community null,80,Confounded,DESeq2,DESeq2,General abundance,100,0.035,0.162912258717397,0.0162912258717397,0.00306919729139023,0.0669308027086097
Abundance,Correlated-community null,80,Confounded,corncob,corncob,General abundance,100,0.08,0.197458600698726,0.0197458600698726,0.0412981142630496,0.11870188573695
Abundance,Correlated-community null,80,Confounded,MaAsLin 3,MaAsLin 3 abundance,Detected log abundance,100,0.04,0.136329962172145,0.0136329962172145,0.0132793274142595,0.0667206725857405
Abundance,Correlated-community null,80,Confounded,metagenomeSeq,metagenomeSeq,General abundance,100,0.345,0.353160335006952,0.0353160335006952,0.275780574338638,0.414219425661363
Abundance,Correlated-community null,80,Confounded,SACAT,SACAT present-conditional abundance,Present-conditional abundance,100,0.085,0.213851170752753,0.0213851170752753,0.0430851705324604,0.12691482946754
Abundance,Correlated-community null,80,Confounded,LinDA,LinDA,General abundance,100,0.08,0.221564683762799,0.0221564683762799,0.0365733219824914,0.123426678017509
Abundance,Correlated-community null,80,Confounded,ZINQ,ZINQ quantile abundance,Detected-sample quantile abundance,100,0.055,0.15723301886761,0.015723301886761,0.0241823283019484,0.0858176716980516
Abundance,Correlated-community null,80,Confounded,ANCOM-BC2,ANCOM-BC2,General abundance,100,0,0,0,0,0
Abundance,Taxonwise global null,120,Confounded,edgeR,edgeR,General abundance,100,0.015,0.0857233039988827,0.00857233039988827,0,0.031801767583781
Abundance,Taxonwise global null,120,Confounded,DESeq2,DESeq2,General abundance,100,0.025,0.109521456778795,0.0109521456778795,0.00353379447135612,0.0464662055286439
Abundance,Taxonwise global null,120,Confounded,corncob,corncob,General abundance,100,0.065,0.196625573518849,0.0196625573518849,0.0264613875903057,0.103538612409694
Abundance,Taxonwise global null,120,Confounded,MaAsLin 3,MaAsLin 3 abundance,Detected log abundance,100,0.04,0.169371983181601,0.0169371983181601,0.00680309129640613,0.0731969087035939
Abundance,Taxonwise global null,120,Confounded,metagenomeSeq,metagenomeSeq,General abundance,100,0.215,0.327640786301835,0.0327640786301835,0.15078240588484,0.27921759411516
Abundance,Taxonwise global null,120,Confounded,SACAT,SACAT present-conditional abundance,Present-conditional abundance,100,0.065,0.209074439404058,0.0209074439404058,0.0240214098768046,0.105978590123195
Abundance,Taxonwise global null,120,Confounded,LinDA,LinDA,General abundance,100,0.085,0.225350456584468,0.0225350456584468,0.0408313105094442,0.129168689490556
Abundance,Taxonwise global null,120,Confounded,ZINQ,ZINQ quantile abundance,Detected-sample quantile abundance,100,0.065,0.183333333333333,0.0183333333333333,0.0290666666666667,0.100933333333333
Abundance,Taxonwise global null,120,Confounded,ANCOM-BC2,ANCOM-BC2,General abundance,100,0,0,0,0,0
Abundance,Depth-imbalanced null,120,Confounded,edgeR,edgeR,General abundance,100,0.02,0.121439181269781,0.0121439181269781,0,0.0438020795288771
Abundance,Depth-imbalanced null,120,Confounded,DESeq2,DESeq2,General abundance,100,0.055,0.17254775360093,0.017254775360093,0.0211806402942177,0.0888193597057823
Abundance,Depth-imbalanced null,120,Confounded,corncob,corncob,General abundance,100,0.11,0.231158697509619,0.0231158697509619,0.0646928952881147,0.155307104711885
Abundance,Depth-imbalanced null,120,Confounded,MaAsLin 3,MaAsLin 3 abundance,Detected log abundance,100,0.065,0.183333333333333,0.0183333333333333,0.0290666666666667,0.100933333333333
Abundance,Depth-imbalanced null,120,Confounded,metagenomeSeq,metagenomeSeq,General abundance,100,0.99,0.0703526470681448,0.00703526470681448,0.976210881174644,1
Abundance,Depth-imbalanced null,120,Confounded,SACAT,SACAT present-conditional abundance,Present-conditional abundance,100,0.075,0.205664726674216,0.0205664726674216,0.0346897135718537,0.115310286428146
Abundance,Depth-imbalanced null,120,Confounded,LinDA,LinDA,General abundance,100,0.4,0.395683783551533,0.0395683783551533,0.3224459784239,0.477554021576101
Abundance,Depth-imbalanced null,120,Confounded,ZINQ,ZINQ quantile abundance,Detected-sample quantile abundance,100,0.05,0.150755672288882,0.0150755672288882,0.0204518882313792,0.0795481117686208
Abundance,Depth-imbalanced null,120,Confounded,ANCOM-BC2,ANCOM-BC2,General abundance,100,0,0,0,0,0
Abundance,Correlated-community null,120,Confounded,edgeR,edgeR,General abundance,100,0,0,0,0,0
Abundance,Correlated-community null,120,Confounded,DESeq2,DESeq2,General abundance,100,0.01,0.0703526470681448,0.00703526470681448,0,0.0237891188253564
